,date,team,location,opponent,outcome,active,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points_scored,game_score,plus_minus,player_id,name
0,2008-11-03,Team.DETROIT_PISTONS,Location.AWAY,Team.CHARLOTTE_BOBCATS,Outcome.WIN,True,116,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2.0,3,ackeral01,Alex Acker
1,2008-11-05,Team.DETROIT_PISTONS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.WIN,True,300,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,-1,ackeral01,Alex Acker
2,2008-11-16,Team.DETROIT_PISTONS,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,True,186,0,1,0,1,1,2,0,0,0,1,0,0,0,1,0.9,5,ackeral01,Alex Acker
3,2008-11-20,Team.DETROIT_PISTONS,Location.AWAY,Team.BOSTON_CELTICS,Outcome.LOSS,True,191,1,3,0,1,0,0,0,0,0,1,0,0,0,2,1.3,2,ackeral01,Alex Acker
4,2008-11-23,Team.DETROIT_PISTONS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,True,120,1,2,0,0,0,0,0,1,0,0,0,0,0,2,1.3,2,ackeral01,Alex Acker
5,2008-12-31,Team.DETROIT_PISTONS,Location.HOME,Team.NEW_JERSEY_NETS,Outcome.WIN,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,ackeral01,Alex Acker
6,2009-01-10,Team.DETROIT_PISTONS,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,True,313,1,3,0,1,0,0,0,0,0,0,1,0,0,2,1.0,8,ackeral01,Alex Acker
7,2009-02-17,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.PHOENIX_SUNS,Outcome.LOSS,True,720,3,6,2,2,2,2,1,1,0,0,0,2,0,10,6.0,6,ackeral01,Alex Acker
8,2009-02-22,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,True,766,1,6,0,2,0,2,2,0,0,1,0,0,0,2,-0.2,-8,ackeral01,Alex Acker
9,2009-02-27,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.SACRAMENTO_KINGS,Outcome.LOSS,True,258,2,4,1,1,0,0,0,0,0,0,0,0,0,5,3.0,9,ackeral01,Alex Acker
10,2009-02-28,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.CHARLOTTE_BOBCATS,Outcome.LOSS,True,796,2,3,1,2,0,0,0,2,1,0,0,1,2,5,3.2,-5,ackeral01,Alex Acker
11,2009-03-02,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,True,604,0,4,0,1,0,0,1,1,0,0,0,1,2,0,-3.6,-16,ackeral01,Alex Acker
12,2009-03-04,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,True,96,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.7,-6,ackeral01,Alex Acker
13,2009-03-07,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.INDIANA_PACERS,Outcome.LOSS,True,717,0,2,0,2,0,0,0,0,1,0,0,0,2,0,-1.5,-6,ackeral01,Alex Acker
14,2009-03-14,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DENVER_NUGGETS,Outcome.LOSS,True,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,ackeral01,Alex Acker
15,2009-03-20,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.LOSS,True,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2,ackeral01,Alex Acker
16,2009-03-22,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.LOSS,True,332,0,1,0,0,0,2,0,0,1,0,0,1,0,0,-1.8,2,ackeral01,Alex Acker
17,2009-03-27,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,True,1019,2,6,0,1,0,0,3,5,2,0,1,0,0,4,6.3,11,ackeral01,Alex Acker
18,2009-03-28,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.HOUSTON_ROCKETS,Outcome.LOSS,True,773,2,3,0,0,0,0,1,1,2,0,0,1,2,4,3.3,5,ackeral01,Alex Acker
19,2009-04-04,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DENVER_NUGGETS,Outcome.LOSS,True,672,4,7,2,2,0,0,0,1,0,0,1,0,0,10,7.7,8,ackeral01,Alex Acker
20,2009-04-07,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,True,682,1,4,0,1,0,0,0,0,0,1,0,0,0,2,0.6,-4,ackeral01,Alex Acker
21,2009-04-10,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.SACRAMENTO_KINGS,Outcome.WIN,True,1107,5,8,1,2,0,0,0,1,3,0,0,0,0,11,9.8,6,ackeral01,Alex Acker
22,2009-04-11,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,True,587,0,4,0,0,2,2,0,0,0,1,0,0,0,2,0.2,-4,ackeral01,Alex Acker
23,2009-04-13,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.UTAH_JAZZ,Outcome.LOSS,True,465,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.3,-4,ackeral01,Alex Acker
24,2009-04-15,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,Outcome.LOSS,True,1042,3,5,0,0,0,0,0,1,0,0,1,1,1,6,3.3,-11,ackeral01,Alex Acker
25,2008-11-07,Team.TORONTO_RAPTORS,Location.AWAY,Team.ATLANTA_HAWKS,Outcome.LOSS,True,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-10,adamsha01,Hassan Adams
26,2008-11-09,Team.TORONTO_RAPTORS,Location.AWAY,Team.CHARLOTTE_BOBCATS,Outcome.WIN,True,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,adamsha01,Hassan Adams
27,2008-11-12,Team.TORONTO_RAPTORS,Location.HOME,Team.PHILADELPHIA_76ERS,Outcome.LOSS,True,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,adamsha01,Hassan Adams
28,2008-11-18,Team.TORONTO_RAPTORS,Location.AWAY,Team.ORLANDO_MAGIC,Outcome.LOSS,True,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-6,adamsha01,Hassan Adams
